KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,総数,農林漁業就業者世帯,農林漁業・非農林漁業就業者混合世帯,非農林漁業就業者世帯,非就業者世帯,分類不能の世帯
23302018003,4,東郷町,清水三丁目,0,,,190,3,1,148,36,2
23302018004,4,東郷町,清水四丁目,0,,,220,-,2,168,49,1
233020190,2,東郷町,大字春木,0,,,113,-,-,79,32,2
23342,1,豊山町,,0,,,6584,19,29,4619,1784,133
233420010,3,豊山町,大字豊場,0,,,5222,12,16,3642,1448,104
23342001000,4,豊山町,大字豊場字新栄,0,,,1714,5,7,1179,481,42
23342001001,4,豊山町,大字豊場字西之町,0,,,2008,5,7,1349,608,39
23342001002,4,豊山町,大字豊場字下戸,0,,,1500,2,2,1114,359,23
233420020,2,豊山町,大字青山,0,,,1362,7,13,977,336,29
23361,1,大口町,,0,,,9137,44,59,6876,2074,84
233610010,3,大口町,秋田,0,,,259,3,3,206,43,4
23361001001,4,大口町,秋田一丁目,0,,,51,-,-,45,6,-
23361001002,4,大口町,秋田二丁目,0,,,93,2,-,77,13,1
23361001003,4,大口町,秋田三丁目,0,,,105,1,3,75,23,3
23361001004,4,大口町,秋田四丁目,0,,,10,-,-,9,1,-
233610050,3,大口町,伝右,0,,,156,2,1,111,40,2
23361005001,4,大口町,伝右一丁目,0,,,70,2,-,49,18,1
23361005002,4,大口町,伝右二丁目,0,,,86,-,1,62,22,1
233610070,3,大口町,替地,0,,,412,1,3,310,96,2
23361007001,4,大口町,替地一丁目,0,,,132,1,2,102,26,1
23361007002,4,大口町,替地二丁目,0,,,137,-,1,101,34,1
23361007003,4,大口町,替地三丁目,0,,,143,-,-,107,36,-
233610090,3,大口町,堀尾跡,0,,,62,2,-,43,15,2
23361009001,4,大口町,堀尾跡一丁目,0,,,41,1,-,28,11,1
23361009002,4,大口町,堀尾跡二丁目,0,,,21,1,-,15,4,1
233610100,3,大口町,御供所,0,,,199,4,4,138,43,10
23361010001,4,大口町,御供所一丁目,0,,,109,3,2,77,21,6
23361010002,4,大口町,御供所二丁目,0,,,66,1,2,45,17,1
23361010003,4,大口町,御供所三丁目,0,,,24,-,-,16,5,3
233610111,3,大口町,豊田,0,,,124,6,2,97,19,-
23361011101,4,大口町,豊田一丁目,0,,,7,1,1,3,2,-
23361011102,4,大口町,豊田二丁目,0,,,37,2,1,29,5,-
23361011103,4,大口町,豊田三丁目,0,,,80,3,-,65,12,-
233610112,3,大口町,奈良子,0,,,277,2,3,206,65,1
23361011201,4,大口町,奈良子一丁目,0,,,139,2,3,97,36,1
23361011202,4,大口町,奈良子二丁目,0,,,79,-,-,62,17,-
23361011203,4,大口町,奈良子三丁目,0,,,59,-,-,47,12,-
233610120,3,大口町,高橋,0,,,121,-,1,90,29,1
23361012001,4,大口町,高橋一丁目,0,,,56,-,-,40,15,1
23361012002,4,大口町,高橋二丁目,0,,,65,-,1,50,14,-
233610131,3,大口町,大屋敷,0,,,197,1,3,148,43,2
23361013101,4,大口町,大屋敷一丁目,0,,,68,-,2,56,10,-
23361013102,4,大口町,大屋敷二丁目,0,,,35,1,1,19,14,-
23361013103,4,大口町,大屋敷三丁目,0,,,94,-,-,73,19,2
233610132,3,大口町,大御堂,0,,,83,1,2,55,25,-
23361013201,4,大口町,大御堂一丁目,0,,,83,1,2,55,25,-
