KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001100001,T001100002,T001100003,T001100004,T001100005,T001100006,T001100007,T001100008,T001100009,T001100010,T001100011,T001100012,T001100013,T001100014,T001100015,T001100016,T001100017,T001100018,T001100019,T001100020,T001100021,T001100022,T001100023,T001100024,T001100025,T001100026,T001100027,T001100028,T001100029,T001100030,T001100031,T001100032,T001100033,T001100034,T001100035,T001100036,T001100037,T001100038,T001100039,T001100040,T001100041,T001100042,T001100043,T001100044,T001100045,T001100046,T001100047,T001100048,T001100049,T001100050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
52394005,0,,,1166,529,637,77,44,33,1083,483,600,447,242,205,1066,474,592,1056,468,588,636,241,395,405,125,280,199,31,168,42,2,40,6,4,2,450,446,141,189,60,29,17,8,2,299,258,41,10,296,7,91,93
52394006,0,,,3343,1569,1774,368,188,180,2938,1362,1576,1740,880,860,2863,1324,1539,2827,1303,1524,1198,482,716,702,245,457,201,60,141,8,2,6,24,11,13,1494,1494,516,484,258,143,59,23,11,957,785,172,104,862,11,287,197
52394007,0,,,33,13,20,2,0,2,31,13,18,12,8,4,31,13,18,31,13,18,19,5,14,15,3,12,4,0,4,0,0,0,0,0,0,15,15,3,8,3,0,1,0,0,12,10,2,0,14,0,3,4
52394010,0,,,91,47,44,10,7,3,81,40,41,46,25,21,78,38,40,76,37,39,35,15,20,20,7,13,9,3,6,1,0,1,0,0,0,31,31,6,9,5,6,4,0,1,25,17,8,2,24,0,5,5
52394011,1,,52394012;52394021,55,22,33,5,1,4,57,24,33,31,11,20,56,23,33,55,23,32,26,13,13,13,6,7,3,1,2,1,0,1,0,0,0,18,18,1,6,9,4,0,1,0,20,15,5,2,16,0,1,5
52394012,2,52394011,,5,2,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
52394014,0,,,16,7,9,0,0,0,16,7,9,2,1,1,16,7,9,16,7,9,14,6,8,9,4,5,1,0,1,0,0,0,1,1,0,13,13,10,3,0,0,0,0,0,2,2,0,0,11,0,8,2
52394015,0,,,455,225,230,38,20,18,407,200,207,233,121,112,398,194,204,390,190,200,174,79,95,81,38,43,12,4,8,1,0,1,3,1,2,201,201,62,81,22,22,11,1,2,136,120,16,8,117,3,32,42
52394016,0,,,2511,1210,1301,201,110,91,2260,1076,1184,1239,628,611,2187,1037,1150,2152,1020,1132,1021,448,573,547,218,329,148,53,95,8,0,8,13,4,9,1150,1148,408,401,184,105,38,6,6,721,622,99,47,679,17,231,199
52394017,0,,,418,177,241,25,13,12,388,162,226,203,99,104,378,158,220,372,155,217,185,63,122,113,26,87,43,5,38,2,2,0,1,1,0,183,183,56,64,33,18,10,1,1,126,92,34,5,136,0,35,19
52394020,0,,,72,36,36,3,3,0,69,33,36,34,16,18,67,32,35,66,31,35,35,17,18,17,6,11,7,2,5,2,0,2,0,0,0,27,27,3,10,7,7,0,0,0,24,19,5,2,19,0,3,6
52394021,2,52394011,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
52394022,2,52394023,,7,2,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
52394023,1,,52394022,25,13,12,3,1,2,29,14,15,14,7,7,28,13,15,28,13,15,15,7,8,6,1,5,3,0,3,1,0,1,0,0,0,9,9,4,3,2,1,1,0,1,8,4,4,0,9,0,3,2
52394024,0,,,16,9,7,0,0,0,16,9,7,13,8,5,13,7,6,12,6,6,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,5,5,1,1,1,1,0,1,0,4,3,1,0,2,0,0,1
52394025,0,,,11,4,7,1,0,1,10,4,6,7,3,4,10,4,6,10,4,6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,3,1,0,0,0,0,3,3,0,1,3,0,2,0
52394026,0,,,83,41,42,5,4,1,77,36,41,46,21,25,74,36,38,73,35,38,31,15,16,14,5,9,1,1,0,0,0,0,0,0,0,37,37,8,20,4,3,1,1,0,29,27,2,0,21,0,6,8
